,PMT,param,slope,scale,intercept
0,PMT1,fitParam0,11.939440953801709,0.0,0.0
1,PMT1,fitParam1,0.004382280745566706,4.115152781411489,1.0
2,PMT1,fitParam2,0.008976939601013461,0.22307854309043673,1.0
3,PMT2,fitParam0,13.711499498610062,0.0,0.0
4,PMT2,fitParam1,0.00899065880808493,2.9795938288931074,1.0
5,PMT2,fitParam2,0.008818066790047494,0.33097678871059427,1.0
6,PMT3,fitParam0,13.196252978259503,0.0,0.0
7,PMT3,fitParam1,0.004908966800152575,3.890361160511453,1.0
8,PMT3,fitParam2,0.0091968041834346,0.19155585954857016,1.0
9,PMT4,fitParam0,13.557588425631685,0.0,0.0
10,PMT4,fitParam1,0.003355364185871958,4.256118483385625,1.0
11,PMT4,fitParam2,0.008760484106658256,0.2252330841214814,1.0
